"","mature_mirna_id","target_symbol"
"84814","hsa-miR-1275","ARIH1"
"84818","hsa-miR-1275","ARPC1B"
"84819","hsa-miR-1275","ARPP19"
"84823","hsa-miR-1275","ASB16"
"84828","hsa-miR-1275","ASXL1"
"84850","hsa-miR-1275","B2M"
"84851","hsa-miR-1275","B3GALNT2"
"84857","hsa-miR-1275","BAG5"
"84891","hsa-miR-1275","BTG2"
"84910","hsa-miR-1275","C19orf47"
"84922","hsa-miR-1275","C5orf24"
"84949","hsa-miR-1275","CALML3"
"84951","hsa-miR-1275","CALR"
"84952","hsa-miR-1275","CAMK2A"
"84958","hsa-miR-1275","CAPZA1"
"84960","hsa-miR-1275","CARM1"
"84963","hsa-miR-1275","CASP3"
"84965","hsa-miR-1275","CBR4"
"84977","hsa-miR-1275","CCDC6"
"84979","hsa-miR-1275","CCDC71L"
"84985","hsa-miR-1275","CCNF"
"84989","hsa-miR-1275","CD40LG"
"84998","hsa-miR-1275","CELSR2"
"85003","hsa-miR-1275","CEP68"
"85004","hsa-miR-1275","CEP95"
"85007","hsa-miR-1275","CHD4"
"85013","hsa-miR-1275","CHST6"
"85020","hsa-miR-1275","CITED4"
"85029","hsa-miR-1275","CLPB"
"85030","hsa-miR-1275","CLU"
"85032","hsa-miR-1275","CNBP"
"85046","hsa-miR-1275","COA4"
"85050","hsa-miR-1275","COL1A2"
"85064","hsa-miR-1275","CREBRF"
"85098","hsa-miR-1275","DCXR"
"85105","hsa-miR-1275","DEC1"
"85120","hsa-miR-1275","DLGAP3"
"85133","hsa-miR-1275","DPP6"
"85141","hsa-miR-1275","DYRK2"
"85144","hsa-miR-1275","E2F4"
"85146","hsa-miR-1275","ECSIT"
"85154","hsa-miR-1275","EIF2S1"
"85155","hsa-miR-1275","EIF3I"
"85182","hsa-miR-1275","ERCC1"
"85200","hsa-miR-1275","FAM151B"
"85206","hsa-miR-1275","FAM20A"
"85219","hsa-miR-1275","FERMT3"
"85226","hsa-miR-1275","FLCN"
"85231","hsa-miR-1275","FN3K"
"85232","hsa-miR-1275","FNBP1"
"85234","hsa-miR-1275","FNDC3B"
"85235","hsa-miR-1275","FOSL1"
"85238","hsa-miR-1275","FOXJ3"
"85244","hsa-miR-1275","FRS2"
"85245","hsa-miR-1275","FRYL"
"85263","hsa-miR-1275","GATAD2A"
"85280","hsa-miR-1275","GLTSCR1L"
"85282","hsa-miR-1275","GNB1"
"85296","hsa-miR-1275","GPS2"
"85302","hsa-miR-1275","GRINA"
"85305","hsa-miR-1275","GRWD1"
